InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536415,22321,BIRD DECORATION RED RETROSPOT,12.0,12/1/2010 11:57,0.85,12838,United Kingdom
536415,22587,FELTCRAFT HAIRBAND RED AND BLUE,4.0,12/1/2010 11:57,0.85,12838,United Kingdom
536529,22164,STRING OF STARS CARD HOLDER,6.0,12/1/2010 13:20,2.95,14237,United Kingdom
536863,10120,DOGGY RUBBER,1.0,12/3/2010 11:19,0.21,17967,United Kingdom
536863,84006,MAGIC TREE -PAPER FLOWERS,1.0,12/3/2010 11:19,0.85,17967,United Kingdom
536863,10002,INFLATABLE POLITICAL GLOBE,1.0,12/3/2010 11:19,0.85,17967,United Kingdom
536863,22537,MAGIC DRAWING SLATE DINOSAUR,1.0,12/3/2010 11:19,0.42,17967,United Kingdom
537201,22321,BIRD DECORATION RED RETROSPOT,12.0,12/5/2010 14:19,0.85,12472,Germany
537201,22602,CHRISTMAS RETROSPOT HEART WOOD,12.0,12/5/2010 14:19,0.85,12472,Germany
537208,21581,SKULLS  DESIGN  COTTON TOTE BAG,2.0,12/5/2010 15:12,2.25,15889,United Kingdom
537208,90062,CARNIVAL BRACELET,1.0,12/5/2010 15:12,12.75,15889,United Kingdom
537241,84006,MAGIC TREE -PAPER FLOWERS,12.0,12/6/2010 10:18,0.85,14293,United Kingdom
537624,22415,WHITE TISSUE REAM,1.0,12/7/2010 14:41,7.95,12748,United Kingdom
537624,21828,EIGHT PIECE SNAKE  SET,1.0,12/7/2010 14:41,1.25,12748,United Kingdom
537624,21826,EIGHT PIECE DINOSAUR SET,2.0,12/7/2010 14:41,1.25,12748,United Kingdom
537624,21827,EIGHT PIECE CREEPY CRAWLIE SET,4.0,12/7/2010 14:41,1.25,12748,United Kingdom
537624,21826,EIGHT PIECE DINOSAUR SET,3.0,12/7/2010 14:41,1.25,12748,United Kingdom
537624,20748,KENSINGTON COFFEE SET,1.0,12/7/2010 14:41,12.75,12748,United Kingdom
537624,22443,GROW YOUR OWN HERBS SET OF 3,1.0,12/7/2010 14:41,7.95,12748,United Kingdom
537624,85127,SMALL SQUARE CUT GLASS CANDLESTICK,2.0,12/7/2010 14:41,4.95,12748,United Kingdom
537624,22276,WASH BAG VINTAGE ROSE PAISLEY,1.0,12/7/2010 14:41,2.55,12748,United Kingdom
537624,21327,SKULLS WRITING SET,1.0,12/7/2010 14:41,1.65,12748,United Kingdom
537624,20798,CLEAR MILKSHAKE GLASS,2.0,12/7/2010 14:41,2.1,12748,United Kingdom
537693,22052,VINTAGE CARAVAN GIFT WRAP,25.0,12/8/2010 10:45,0.42,12441,France
537693,22051,BLUE SCANDINAVIAN PAISLEY WRAP,25.0,12/8/2010 10:45,0.42,12441,France
537819,84006,MAGIC TREE -PAPER FLOWERS,24.0,12/8/2010 13:55,0.85,15298,United Kingdom
537859,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1.0,12/8/2010 16:11,3.75,14030,United Kingdom
538007,22255,FELT TOADSTOOL  SMALL,12.0,12/9/2010 12:16,0.85,14355,United Kingdom
538108,21802,CHRISTMAS TREE HEART DECORATION,36.0,12/9/2010 15:23,0.42,17456,United Kingdom
538108,21803,CHRISTMAS TREE STAR DECORATION,36.0,12/9/2010 15:23,0.42,17456,United Kingdom
538108,20981,12 PENCILS TALL TUBE WOODLAND,12.0,12/9/2010 15:23,0.85,17456,United Kingdom
538145,22276,WASH BAG VINTAGE ROSE PAISLEY,6.0,12/9/2010 16:08,2.55,15211,United Kingdom
538157,22415,WHITE TISSUE REAM,2.0,12/9/2010 16:57,7.95,17576,United Kingdom
538353,21700,BIG DOUGHNUT FRIDGE MAGNETS,2.0,12/10/2010 15:31,0.85,13798,United Kingdom
538508,22537,MAGIC DRAWING SLATE DINOSAUR,4.0,12/12/2010 13:32,0.42,15998,United Kingdom
538508,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,4.0,12/12/2010 13:32,2.1,15998,United Kingdom
538508,21647,ASSORTED TUTTI FRUTTI LARGE PURSE,4.0,12/12/2010 13:32,2.1,15998,United Kingdom
